place_id,name,latitude,longitude,categories,address_line1,address_line2,city,state,postcode,country,formatted_address,website,phone,distance_meters
51c7f4dfde10c757c05992ff11e6878b3d40f00103f9010f1073990200000092032e496e746572666169746820436172696e67204d696e69737472696573202849434d2920526573616c652053686f70,Interfaith Caring Ministries (ICM) Resale Shop,29.5450424,-95.1104047,"commercial, commercial.second_hand",Interfaith Caring Ministries (ICM) Resale Shop,"803 East NASA Parkway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Interfaith Caring Ministries (ICM) Resale Shop, 803 East NASA Parkway, Webster, TX 77598, United States of America",https://icmtx.org/resale,,40629.0
51103345cae0c657c05916186f1f5e8c3d40f00103f90111107399020000009203114272696768742057617368617465726961,Bright Washateria,29.5483112,-95.1074701,"commercial, service, service.cleaning, service.cleaning.laundry",Bright Washateria,"17645 El Camino Real, Webster, TX 77058, United States of America",Webster,Texas,77058,United States,"Bright Washateria, 17645 El Camino Real, Webster, TX 77058, United States of America",,,40660.0
51398fd48c56c857c059054484bd3f863d40f00103f90166e62de401000000920307417420486f6d65,At Home,29.5244101,-95.1302826,"commercial, commercial.houseware_and_hardware",At Home,"20780 Gulf Freeway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"At Home, 20780 Gulf Freeway, Webster, TX 77598, United States of America",,,40662.0
516dbce078e3c657c05971074c405d8c3d40f00103f90110107399020000009203174d617274696e657a204d65786963616e2042616b657279,Martinez Mexican Bakery,29.5482979,-95.1076338,"commercial, commercial.food_and_drink, commercial.food_and_drink.bakery",Martinez Mexican Bakery,"17637 El Camino Real, Houston, TX 77058, United States of America",Houston,Texas,77058,United States,"Martinez Mexican Bakery, 17637 El Camino Real, Houston, TX 77058, United States of America",,,40670.0
516635b808e7c657c0596e963e1e558c3d40f00103f901fec8381f0100000092030753756e6e792773,Sunny's,29.5481738,-95.1078512,"commercial, commercial.convenience",Sunny's,"El Camino Real, Webster, TX 77062, United States of America",Webster,Texas,77062,United States,"Sunny's, El Camino Real, Webster, TX 77062, United States of America",,,40677.0
5187da368c82c757c059b4e65250f6893d40f00103f901ffd2931501000000920306455a5061776e,EZPawn,29.5389147,-95.117343,commercial,EZPawn,"209 East NASA Parkway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"EZPawn, 209 East NASA Parkway, Webster, TX 77598, United States of America",,,40692.0
51a857ca32c4c757c05994076ba11a893d40f00103f9011526430e0100000092031a4261702047656f6e20496d706f7274204175746f205061727473,Bap Geon Import Auto Parts,29.5355626,-95.12135,"commercial, commercial.vehicle",Bap Geon Import Auto Parts,"402 NASA Parkway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Bap Geon Import Auto Parts, 402 NASA Parkway, Webster, TX 77598, United States of America",bap-geon.com,,40752.0
5166f2cd3637c857c0598253e5142e873d40f00103f901bf16964302000000920308426967204c6f7473,Big Lots,29.5280469,-95.12837,"commercial, commercial.department_store",Big Lots,"1201 Gulf Freeway Frontage Road, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Big Lots, 1201 Gulf Freeway Frontage Road, Webster, TX 77598, United States of America",https://local.biglots.com/tx/webster/1201-w-nasa-pkwy,,40761.0
5141751838c5c757c059ad318c5429893d40f00103f901166d2808010000009203095374756572686b2773,Stuerhk's,29.5357869,-95.1214123,"commercial, service, service.vehicle, service.vehicle.repair, service.vehicle.repair.car",Stuerhk's,"North Live Oak Street, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Stuerhk's, North Live Oak Street, Webster, TX 77598, United States of America",,,40772.0
51fa56355200c857c059667ca46b81883d40f00103f9011226430e0100000092031553706163652043656e74657220536f7576656e6972,Space Center Souvenir,29.5332248,-95.1250196,"commercial, commercial.gift_and_souvenir",Space Center Souvenir,"710 NASA Parkway, Webster, TX 77598, United States of America",Webster,Texas,77598,United States,"Space Center Souvenir, 710 NASA Parkway, Webster, TX 77598, United States of America",,,40864.0
